City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,kardla,58.9978,22.7492,27.05,71,100,14.36,EE,2023-02-03 21:49:49
136,benjamin hill,30.1667,-111.1,73.49,12,44,1.16,MX,2023-02-03 21:49:50
137,soyo,-6.1349,12.3689,81.3,84,92,11.05,AO,2023-02-03 21:49:51
138,alyangula,-13.8483,136.4192,83.41,66,43,2.89,AU,2023-02-03 21:49:51
139,sao filipe,14.8961,-24.4956,71.87,69,92,13.62,CV,2023-02-03 21:49:52
140,wajima,37.4,136.9,40.91,83,95,10.54,JP,2023-02-03 21:49:53
141,atuona,-9.8,-139.0333,78.64,80,28,21.14,PF,2023-02-03 21:49:55
142,takoradi,4.8845,-1.7554,80.22,86,39,7.11,GH,2023-02-03 21:49:55
143,mount hagen,-5.8581,144.2274,60.03,98,100,1.05,PG,2023-02-03 21:49:56
144,cabo san lucas,22.8909,-109.9124,78.1,44,0,8.05,MX,2023-02-03 21:45:08
145,geraldton,-28.7667,114.6,79.21,29,76,12.66,AU,2023-02-03 21:49:57
146,porto walter,-8.2686,-72.7439,84.2,57,100,1.14,BR,2023-02-03 21:49:58
147,bandundu,-3.3167,17.3667,75.49,74,34,1.81,CD,2023-02-03 21:49:58
148,hami,42.8,93.45,26.31,45,94,4.41,CN,2023-02-03 21:49:59
149,vaitape,-16.5167,-151.75,81.21,76,15,16.98,PF,2023-02-03 21:50:00
150,nyurba,63.2842,118.3319,-24.48,100,100,2.98,RU,2023-02-03 21:45:41
151,aizpute,56.7167,21.6,27.63,74,100,7.4,LV,2023-02-03 21:50:01
152,college,64.8569,-147.8028,10.47,82,75,0.0,US,2023-02-03 21:45:11
153,poum,-20.2333,164.0167,81.9,75,40,6.62,NC,2023-02-03 21:50:06
154,batemans bay,-35.7167,150.1833,62.1,40,0,8.75,AU,2023-02-03 21:50:08
155,batamshinskiy,50.5594,58.2747,-1.5,88,18,8.63,KZ,2023-02-03 21:50:11
156,east london,-33.0153,27.9116,73.35,82,88,9.84,ZA,2023-02-03 21:50:29
157,luderitz,-26.6481,15.1594,63.61,79,3,14.05,NA,2023-02-03 21:50:33
158,sidi ali,36.0998,0.4206,50.94,76,100,7.29,DZ,2023-02-03 21:50:33
159,anchorage,61.2181,-149.9003,29.93,94,100,3.44,US,2023-02-03 21:47:40
160,puerto carreno,6.189,-67.4859,91.38,46,20,13.8,CO,2023-02-03 21:50:34
161,paita,-5.0892,-81.1144,77.76,71,45,16.55,PE,2023-02-03 21:50:35
